dataset,model,perturbation,p,seed,accuracy,stability
PubMed,GAT,class,0.1,2,0.748,0.99
PubMed,GAT,random,0.2,2,0.748,0.942
PubMed,GAT,degree,0.2,2,0.753,0.957
PubMed,GAT,class,0.2,2,0.747,0.984
PubMed,GAT,random,0.4,2,0.742,0.935
PubMed,GAT,degree,0.4,2,0.747,0.932
PubMed,GAT,class,0.4,2,0.764,0.96
PubMed,GAT,random,0.1,3,0.754,0.973
PubMed,GAT,degree,0.1,3,0.753,0.975
PubMed,GAT,class,0.1,3,0.752,0.994
PubMed,GAT,random,0.2,3,0.739,0.948
PubMed,GAT,degree,0.2,3,0.749,0.957
PubMed,GAT,class,0.2,3,0.754,0.986
PubMed,GAT,random,0.4,3,0.74,0.911
PubMed,GAT,degree,0.4,3,0.744,0.916
PubMed,GAT,class,0.4,3,0.756,0.96
PubMed,GAT,random,0.1,4,0.681,0.952
PubMed,GAT,degree,0.1,4,0.674,0.961
PubMed,GAT,class,0.1,4,0.686,0.99
PubMed,GAT,random,0.2,4,0.686,0.93
PubMed,GAT,degree,0.2,4,0.691,0.943
PubMed,GAT,class,0.2,4,0.687,0.982
PubMed,GAT,random,0.4,4,0.679,0.868
PubMed,GAT,degree,0.4,4,0.688,0.89
PubMed,GAT,class,0.4,4,0.697,0.956
PubMed,SAGE,random,0.1,0,0.766,0.975
PubMed,SAGE,degree,0.1,0,0.766,0.972
PubMed,SAGE,class,0.1,0,0.764,0.993
PubMed,SAGE,random,0.2,0,0.765,0.968
PubMed,SAGE,degree,0.2,0,0.761,0.95
PubMed,SAGE,class,0.2,0,0.776,0.982
PubMed,SAGE,random,0.4,0,0.759,0.913
PubMed,SAGE,degree,0.4,0,0.756,0.921
PubMed,SAGE,class,0.4,0,0.775,0.971
PubMed,SAGE,random,0.1,1,0.773,0.977
PubMed,SAGE,degree,0.1,1,0.768,0.973
PubMed,SAGE,class,0.1,1,0.771,0.993
PubMed,SAGE,random,0.2,1,0.761,0.956
PubMed,SAGE,degree,0.2,1,0.768,0.96
PubMed,SAGE,class,0.2,1,0.779,0.98
PubMed,SAGE,random,0.4,1,0.766,0.92
PubMed,SAGE,degree,0.4,1,0.761,0.924
PubMed,SAGE,class,0.4,1,0.787,0.972
PubMed,SAGE,random,0.1,2,0.755,0.976
PubMed,SAGE,degree,0.1,2,0.753,0.971
PubMed,SAGE,class,0.1,2,0.757,0.981
PubMed,SAGE,random,0.2,2,0.75,0.95
PubMed,SAGE,degree,0.2,2,0.763,0.957
PubMed,SAGE,class,0.2,2,0.763,0.979
PubMed,SAGE,random,0.4,2,0.741,0.91
PubMed,SAGE,degree,0.4,2,0.752,0.931
PubMed,SAGE,class,0.4,2,0.767,0.959
PubMed,SAGE,random,0.1,3,0.77,0.982
PubMed,SAGE,degree,0.1,3,0.769,0.975
PubMed,SAGE,class,0.1,3,0.776,0.991
PubMed,SAGE,random,0.2,3,0.761,0.951
PubMed,SAGE,degree,0.2,3,0.768,0.962
PubMed,SAGE,class,0.2,3,0.783,0.983
PubMed,SAGE,random,0.4,3,0.76,0.915
PubMed,SAGE,degree,0.4,3,0.765,0.914
PubMed,SAGE,class,0.4,3,0.777,0.965
PubMed,SAGE,random,0.1,4,0.764,0.969
PubMed,SAGE,degree,0.1,4,0.764,0.982
PubMed,SAGE,class,0.1,4,0.768,0.992
PubMed,SAGE,random,0.2,4,0.759,0.962
PubMed,SAGE,degree,0.2,4,0.771,0.966
PubMed,SAGE,class,0.2,4,0.77,0.985
PubMed,SAGE,random,0.4,4,0.756,0.928
PubMed,SAGE,degree,0.4,4,0.763,0.943
PubMed,SAGE,class,0.4,4,0.774,0.973
